"","lon","lat","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1016",14.708445,52.61814,"Diplodia pteleae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1021",14.708445,52.61814,"Diplodia tamaricina",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1026",14.708445,52.61814,"Diplodia juglandis",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1035",-4,40,"Diplodia sophorae",14.9,111,35,6849,330,17,313,105,241,241,65,388,44,8,37,128,43,43,109
"1036",-4,40,"Diplodia gleditschiae",14.9,111,35,6849,330,17,313,105,241,241,65,388,44,8,37,128,43,43,109
"1038",137.53047,35.43836,"Diplodia oryzae",10.7,98,29,8341,276,-59,335,210,0,213,0,2045,284,65,48,811,208,802,208
"1039",12.102261,53.210312,"Diplodia rosarum",8.4,73,29,6451,220,-28,248,167,33,167,3,577,66,32,21,190,107,190,125
"1050",10.5,51.5,"Diplodia ailanthina",7.8,81,32,6275,214,-35,249,158,5,158,-3,699,82,46,18,223,143,223,152
"1055",14.708445,52.61814,"Diplodia ailanthina",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1061",14.708445,52.61814,"Diplodia rhois",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1062",14.071368,50.916255,"Diplodia ramulicola",7.6,75,28,6869,217,-45,262,163,-3,163,-13,606,79,32,29,219,105,219,111
"1064",-99.265097,39.438066,"Diplodia juglandis",11.4,154,34,10138,339,-105,444,218,-19,244,-19,590,93,11,55,252,41,232,41
"1066",-99.325054,39.35023,"Diplodia juglandis",11.2,150,34,10111,336,-104,440,217,-20,243,-20,590,92,11,55,253,41,234,41
"1070",10.5,51.5,"Diplodia forsythiae",7.8,81,32,6275,214,-35,249,158,5,158,-3,699,82,46,18,223,143,223,152
"1072",14.708445,52.61814,"Diplodia forsythiae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1079",20,47,"Diplodia mori",10.7,97,30,7813,272,-44,316,188,20,202,2,523,69,28,27,179,90,169,105
"1132",-93.750179,32.525152,"Diplodia aesculi",18.3,123,38,7216,340,20,320,223,237,273,88,1195,127,68,15,343,240,264,315
"1135",-91.824717,30.127094,"Diplodia aesculi",19.6,112,40,6209,326,47,279,271,203,271,113,1499,173,93,18,467,317,467,374
"1147",-86,50,"Diplodia rubi",-0.2,128,25,12438,236,-268,504,149,-172,149,-172,805,93,41,27,268,137,268,137
"1152",-122.632639,47.567318,"Diplodia extensa",10.7,95,40,4885,240,7,233,52,170,170,47,1164,197,20,64,559,85,85,512
"1154",-122.648996,47.639831,"Diplodia extensa",10.5,93,40,4862,237,7,230,51,168,168,46,1136,192,21,62,538,89,89,493
"1157",12.102261,53.210312,"Diplodia forsythiae",8.4,73,29,6451,220,-28,248,167,33,167,3,577,66,32,21,190,107,190,125
"1159",-122.659722,47.561111,"Diplodia extensa",10.7,95,40,4885,240,7,233,52,170,170,47,1164,197,20,64,559,85,85,512
"1168",12.102261,53.210312,"Diplodia salicina",8.4,73,29,6451,220,-28,248,167,33,167,3,577,66,32,21,190,107,190,125
"1169",12.102261,53.210312,"Diplodia mamillana",8.4,73,29,6451,220,-28,248,167,33,167,3,577,66,32,21,190,107,190,125
"1172",12.102261,53.210312,"Diplodia licalis",8.4,73,29,6451,220,-28,248,167,33,167,3,577,66,32,21,190,107,190,125
"1173",8.446252,54.869735,"Diplodia salicorniae",8.7,50,24,5689,198,-9,207,103,33,159,16,821,92,41,26,271,134,251,157
"1180",14.708445,52.61814,"Diplodia rudis",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
